SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
171,ILF3,PABPC1,0.335,0.444,0.35,0.739,Multiple Sclerosis,744817,3609,26986,109822,117939,Co-fractionation,22939629,Havugimana PC (2012)
172,DDX5,KHDRBS1,0.257,0.512,0.338,0.739,Multiple Sclerosis,828187,1655,10657,108021,115900,Two-hybrid,22365833,Hegele A (2012)
173,DDX5,ILF3,0.179,0.213,0.629,0.739,Multiple Sclerosis,3439071,1655,3609,108021,109822,Co-fractionation,35831314,Havugimana PC (2022)
174,FBXO7,EIF4G1,0.101,0.292,0.623,0.739,Parkinson's,2461222,25793,1981,117326,108296,Affinity Capture-MS,27503909,Teixeira FR (2016)
175,TUBA4A,DYNC1LI1,0.06,0.161,0.167,0.739,Multiple Sclerosis,3010081,7277,51143,113128,119327,Proximity Label-MS,34079125,Go CD (2021)
176,HNRNPU,NONO,0.48,0.208,0.42,0.74,Multiple Sclerosis,744801,3192,4841,109433,110904,Co-fractionation,22939629,Havugimana PC (2012)
177,NONO,PTBP1,0.469,0.292,0.364,0.74,Multiple Sclerosis,1028328,4841,5725,110904,111697,Reconstituted Complex,17507659,Hall-Pogar T (2007)
178,UQCRFS1,ACAA2,0.146,0.601,0.299,0.74,Friedreich ataxia,2951256,7386,10449,113232,115713,Affinity Capture-MS,24981860,Marcon E (2014)
179,RBMX,SRSF2,0.124,0.126,0.425,0.74,Multiple Sclerosis,3443120,27316,6427,118134,112325,Co-fractionation,35831314,Havugimana PC (2022)
180,SPATA2,TNIP1,0.049,0.629,0.323,0.74,Multiple Sclerosis,2494193,9825,10318,115163,115602,Affinity Capture-MS,27307491,Wagner SA (2016)
181,HNRNPA1,SNRNP200,0.261,0.558,0.27,0.741,Multiple Sclerosis,669144,3178,23020,109420,116661,Affinity Capture-MS,22446626,Close P (2012)
182,PABPC1,U2AF1,0.25,0.616,0.176,0.741,Multiple Sclerosis,828490,26986,7307,117939,113157,Two-hybrid,22365833,Hegele A (2012)
183,IKBKG,SQSTM1,0.067,0.625,0.32,0.741,Multiple Sclerosis,825312,8517,8878,114089,114397,Affinity Capture-Western,16874300,Martin P (2006)
184,CALCOCO2,TAX1BP1,0.06,0.53,0.461,0.741,Multiple Sclerosis,676842,10241,8887,115535,114405,Affinity Capture-Western,17635994,Morriswood B (2007)
185,CS,HSPA9,0.166,0.128,0.374,0.742,Friedreich ataxia,2984530,1431,3313,107818,109545,Proximity Label-MS,34079125,Go CD (2021)
186,NONO,DHX9,0.447,0.292,0.397,0.743,Multiple Sclerosis,2879470,4841,1660,110904,108025,Affinity Capture-MS,31815296,Hu Z (2020)
187,VAPB,OSBPL1A,0,0.607,0.373,0.743,Multiple Sclerosis,1197956,9217,114876,114650,125379,Affinity Capture-MS,26186194,Huttlin EL (2015)
188,HSP90AA1,SNCA,0,0.475,0.53,0.743,Parkinson's,736158,3320,6622,109552,112506,Reconstituted Complex,19759002,Falsone SF (2009)
189,PABPC1,DDX5,0.285,0.127,0.623,0.744,Multiple Sclerosis,3437477,26986,1655,117939,108021,Co-fractionation,35831314,Havugimana PC (2022)
190,OPTN,UBQLN1,0.086,0.365,0.595,0.744,Multiple Sclerosis,2766168,10133,29979,115436,119007,Proximity Label-MS,31723608,Heo JM (2019)
191,STAT5B,CTLA4,0.055,0.403,0.583,0.744,Amyotrophic Lateral Sclerosis (ALS),1504994,6777,1493,112654,107875,Co-localization,25241761,Chen TC (2014)
192,MDM4,YWHAQ,0,0.739,0.059,0.744,Parkinson's,719525,4194,10971,110359,116168,Affinity Capture-MS,18356162,Lopez-Pajares V (2008)
193,IFNL3,IL12RB1,0,0.19,0.17,0.744,Amyotrophic Lateral Sclerosis (ALS),2861904,282617,3594,129395,109808,Positive Genetic,30762338,Guo Y (2019)
194,DLD,SDHB,0.398,0.239,0.453,0.745,Friedreich ataxia,1271734,1738,6390,108082,112291,Co-fractionation,26344197,Wan C (2015)
195,DDX58,SQSTM1,0.042,0.625,0.348,0.745,Multiple Sclerosis,2533656,23586,8878,117121,114397,Affinity Capture-Western,29288164,Du Y (2018)
196,TNF,CD276,0,0.185,0.7,0.745,Amyotrophic Lateral Sclerosis (ALS),2261806,7124,80381,112979,123260,Affinity Capture-MS,28514442,Huttlin EL (2017)
197,CS,UQCRC2,0.307,0.18,0.589,0.746,Friedreich ataxia,2984673,1431,7385,107818,113231,Proximity Label-MS,34079125,Go CD (2021)
198,PMPCA,TIMM44,0.295,0.088,0.419,0.746,Friedreich ataxia,2857474,23203,10469,116811,115732,Proximity Label-MS,32877691,Antonicka H (2020)
199,APP,UCHL1,0.09,0.536,0.447,0.746,Parkinson's,1505352,351,7345,106848,113192,Affinity Capture-Western,25466238,Zhang M (2014)
200,YWHAQ,PI4KB,0.049,0.708,0.156,0.746,Parkinson's,241690,10971,5298,116168,111316,Affinity Capture-MS,17353931,Ewing RM (2007)
201,ATG9A,SQSTM1,0.044,0.36,0.619,0.746,Multiple Sclerosis,3380649,79065,8878,122518,114397,Affinity Capture-Western,34369648,Kannangara AR (2021)
202,MATR3,RBMX,0.06,0.626,0.338,0.747,Multiple Sclerosis,1452973,9782,27316,115126,118134,Affinity Capture-MS,26496610,Hein MY (2015)
203,SNRNP70,SYNCRIP,0.443,0.453,0.238,0.748,Multiple Sclerosis,2638811,6625,10492,112509,115755,Affinity Capture-MS,29802200,Bishof I (2018)
204,TARDBP,SNRNP200,0.345,0.341,0.463,0.748,Multiple Sclerosis,913154,23435,23020,117003,116661,Affinity Capture-MS,20020773,Freibaum BD (2010)
205,DDX5,HNRNPU,0.301,0.408,0.441,0.748,Multiple Sclerosis,3354006,1655,3192,108021,109433,Affinity Capture-MS,35271311,Cho NH (2022)
206,CPSF6,PSPC1,0.203,0.204,0.636,0.748,Multiple Sclerosis,2946702,11052,55269,116238,120558,Affinity Capture-MS,24981860,Marcon E (2014)
207,IDH2,TPI1,0.177,0.161,0.664,0.748,Friedreich ataxia,2629045,3418,7167,109644,113020,Co-fractionation,31536960,Moutaoufik MT (2019)
208,HDAC6,PLAA,0.052,0.472,0.536,0.748,Multiple Sclerosis,872038,10013,9373,115330,114774,Affinity Capture-MS,23752268,Joshi P (2013)
209,PDGFD,DCTN1,0,0.748,0,0.748,Multiple Sclerosis,2257054,80310,1639,123223,108007,Affinity Capture-MS,28514442,Huttlin EL (2017)
210,EWSR1,TAF15,0.467,0.447,0.218,0.749,Multiple Sclerosis,2644299,2130,8148,108431,113807,Affinity Capture-MS,29884807,Chi B (2018)
211,HSPD1,TIMM44,0.153,0.257,0.297,0.749,Friedreich ataxia,2559063,3329,10469,109561,115732,Proximity Label-MS,29568061,Liu X (2018)
212,SMN1,HNRNPA2B1,0.049,0.292,0.658,0.749,Multiple Sclerosis,566556,6606,3181,112490,109422,Affinity Capture-MS,19928837,Fuller HR (2010)
213,C9orf72,APP,0,0,0.749,0.749,Parkinson's,739926,203228,351,128456,106848,Reconstituted Complex,21832049,Olah J (2011)
214,HNRNPU,SNRNP70,0.501,0.329,0.313,0.75,Multiple Sclerosis,744308,3192,6625,109433,112509,Co-fractionation,22939629,Havugimana PC (2012)
215,PSMC2,UBQLN1,0.189,0.593,0.303,0.75,Multiple Sclerosis,745704,5701,29979,111674,119007,Co-fractionation,22939629,Havugimana PC (2012)
216,ACO2,ACAA2,0.149,0.467,0.493,0.75,Friedreich ataxia,754264,50,10449,106566,115713,Co-fractionation,22939629,Havugimana PC (2012)
217,STAT5A,CTLA4,0.087,0.409,0.574,0.75,Amyotrophic Lateral Sclerosis (ALS),1504991,6776,1493,112653,107875,Co-localization,25241761,Chen TC (2014)
218,TAF15,TRA2B,0.672,0.241,0.08,0.751,Multiple Sclerosis,2644383,8148,6434,113807,112332,Affinity Capture-MS,29884807,Chi B (2018)
219,SNRNP70,SRSF9,0.297,0.466,0.391,0.751,Multiple Sclerosis,743944,6625,8683,112509,114231,Co-fractionation,22939629,Havugimana PC (2012)
220,UBQLN2,NBR1,0.092,0.378,0.595,0.751,Multiple Sclerosis,3015505,29978,4077,119006,110253,Affinity Capture-MS,33277362,Whiteley AM (2020)
221,MRPL30,RPS9,0.086,0.738,0,0.751,Friedreich ataxia,3064380,51263,6203,119417,112117,Affinity Capture-MS,33961781,Huttlin EL (2021)
222,U2AF2,ILF2,0.635,0.162,0.255,0.752,Multiple Sclerosis,1525924,11338,3608,116466,109821,Affinity Capture-MS,26641092,Whisenant TC (2015)
223,PABPC1,SRSF1,0.212,0.231,0.624,0.752,Multiple Sclerosis,2815378,26986,6426,117939,112324,Proximity Label-MS,29395067,Youn JY (2018)
224,PDHA1,NDUFS1,0.168,0.207,0.654,0.752,Friedreich ataxia,2626403,5160,4719,111186,110799,Co-fractionation,31536960,Moutaoufik MT (2019)
225,PFN1,HTT,0.054,0.143,0.719,0.752,Multiple Sclerosis,2999712,5216,3064,111237,109314,Proximity Label-MS,34079125,Go CD (2021)
226,SOCS3,TRAF6,0.093,0.51,0.489,0.753,Amyotrophic Lateral Sclerosis (ALS),442294,9021,7189,114488,113041,Affinity Capture-Western,16543409,Frobose H (2006)
227,CYLD,MLKL,0.08,0.3,0.647,0.753,Multiple Sclerosis,3390664,1540,197259,107920,128244,Biochemical Activity,34999730,Yoon S (2022)
228,MAVS,SQSTM1,0,0.626,0.367,0.753,Multiple Sclerosis,3198023,57506,8878,121570,114397,Affinity Capture-Western,33577621,Zeng Y (2021)
229,GAPDH,GOT2,0.351,0.139,0.595,0.754,Friedreich ataxia,601772,2597,2806,108868,109068,Two-hybrid,21900206,Vinayagam A (2011)
230,KHDRBS1,RALY,0.245,0.635,0.178,0.754,Multiple Sclerosis,828549,10657,22913,115900,116575,Two-hybrid,22365833,Hegele A (2012)
231,SOD1,PSMA6,0.218,0.074,0.144,0.754,Multiple Sclerosis,2362411,6647,5687,112530,111660,Affinity Capture-MS,29128334,Malty RH (2017)
232,HNRNPDL,U2AF2,0.138,0.321,0.614,0.754,Multiple Sclerosis,745696,9987,11338,115308,116466,Co-fractionation,22939629,Havugimana PC (2012)
233,DDX5,SYNCRIP,0.119,0.389,0.58,0.754,Multiple Sclerosis,745372,1655,10492,108021,115755,Co-fractionation,22939629,Havugimana PC (2012)
234,MAP1LC3B,TAX1BP1,0.098,0.54,0.455,0.754,Multiple Sclerosis,948772,81631,8887,123565,114405,Reconstituted Complex,23209807,Newman AC (2012)
235,HDAC6,SNCA,0.067,0.226,0.687,0.754,Parkinson's,2935980,10013,6622,115330,112506,Co-localization,32655357,Mazzetti S (2020)
236,HSCB,IBA57,0.049,0.292,0.664,0.754,Friedreich ataxia,2812162,150274,200205,127276,128310,Affinity Capture-MS,28380382,Maio N (2017)
237,SYNCRIP,SRSF3,0.554,0.241,0.334,0.755,Multiple Sclerosis,744774,10492,6428,115755,112326,Co-fractionation,22939629,Havugimana PC (2012)
238,MDH2,NDUFS2,0.443,0.121,0.54,0.755,Friedreich ataxia,2853349,4191,4720,110356,110800,Proximity Label-MS,32877691,Antonicka H (2020)
239,SNRPC,HNRNPA1,0.238,0.27,0.595,0.755,Multiple Sclerosis,3370857,6631,3178,112515,109420,Affinity Capture-MS,35271311,Cho NH (2022)
240,MAP2K1,YWHAG,0.148,0.642,0.261,0.755,Parkinson's,2778985,5604,7532,111590,113364,Affinity Capture-MS,31980649,Kennedy SA (2020)
241,FUNDC1,SQSTM1,0.101,0.226,0.676,0.755,Parkinson's,2614375,139341,8878,126561,114397,Co-localization,30591555,Li Y (2019)
242,PABPC1,RALY,0.094,0.464,0.536,0.755,Multiple Sclerosis,745183,26986,22913,117939,116575,Co-fractionation,22939629,Havugimana PC (2012)
243,TBK1,TNIP1,0.067,0.471,0.544,0.755,Multiple Sclerosis,675550,29110,10318,118878,115602,Affinity Capture-Western,21885437,Gao L (2011)
244,TARDBP,SSB,0.728,0.137,0.044,0.756,Multiple Sclerosis,913129,23435,6741,117003,112619,Affinity Capture-MS,20020773,Freibaum BD (2010)
245,PCBP1,ILF3,0.431,0.13,0.547,0.756,Multiple Sclerosis,2471523,5093,3609,111126,109822,Affinity Capture-MS,27684187,Rosenbluh J (2016)
246,CS,GRPEL1,0.061,0.162,0.453,0.756,Friedreich ataxia,2849911,1431,80273,107818,123210,Proximity Label-MS,32877691,Antonicka H (2020)
247,VAPB,PITPNM2,0,0.585,0.435,0.756,Multiple Sclerosis,1197993,9217,57605,114650,121653,Affinity Capture-MS,26186194,Huttlin EL (2015)
248,SRSF1,ILF2,0.69,0,0.251,0.757,Multiple Sclerosis,3448953,6426,3608,112324,109821,Co-fractionation,35831314,Havugimana PC (2022)
249,HNRNPF,SRSF9,0.226,0.053,0.513,0.757,Multiple Sclerosis,3445494,3185,8683,109426,114231,Co-fractionation,35831314,Havugimana PC (2022)
250,FUS,SRSF9,0.091,0.414,0.328,0.757,Multiple Sclerosis,893691,2521,8683,108797,114231,Two-hybrid,21988832,Wang J (2011)
251,MARK2,YWHAE,0.075,0.696,0.203,0.757,Parkinson's,697211,2011,7531,108326,113363,Affinity Capture-Western,16968750,Goeransson O (2006)
252,HNRNPL,MATR3,0.06,0.374,0.62,0.757,Multiple Sclerosis,3358482,3191,9782,109432,115126,Affinity Capture-MS,35271311,Cho NH (2022)
253,MDM4,YWHAE,0,0.739,0.107,0.757,Parkinson's,463381,4194,7531,110359,113363,Affinity Capture-Western,16227609,Okamoto K (2005)
254,SNCAIP,PINK1,0,0.236,0.695,0.757,Parkinson's,715407,9627,65018,114986,122376,Two-hybrid,15894486,Bandopadhyay R (2005)
255,RBM14,HNRNPC,0.667,0.187,0.177,0.758,Multiple Sclerosis,3366310,10432,3183,115700,109424,Affinity Capture-MS,35271311,Cho NH (2022)
256,CS,NDUFS3,0.425,0.203,0.507,0.758,Friedreich ataxia,2850021,1431,4722,107818,110801,Proximity Label-MS,32877691,Antonicka H (2020)
257,HSPA8,TARDBP,0.266,0.175,0.632,0.758,Parkinson's,2471214,3312,23435,109544,117003,Affinity Capture-MS,27684187,Rosenbluh J (2016)
258,HNRNPDL,ILF3,0.254,0.212,0.621,0.758,Multiple Sclerosis,3430885,9987,3609,115308,109822,Co-fractionation,35831314,Havugimana PC (2022)
259,SNRNP200,U2AF2,0.201,0.331,0.583,0.758,Multiple Sclerosis,3433398,23020,11338,116661,116466,Co-fractionation,35831314,Havugimana PC (2022)
260,RIPK1,RPS27A,0.042,0.492,0.125,0.758,Multiple Sclerosis,2781052,8737,6233,114274,112147,Affinity Capture-MS,31980649,Kennedy SA (2020)
261,UBQLN2,MATR3,0.042,0.192,0.713,0.758,Multiple Sclerosis,2608963,29978,9782,119006,115126,Affinity Capture-MS,30442662,Alexander EJ (2018)
262,SQSTM1,ULK2,0,0.314,0.662,0.758,Multiple Sclerosis,868647,8878,9706,114397,115058,Reconstituted Complex,14702098,Pridgeon JW (2004)
263,PCBP1,HNRNPU,0.377,0.169,0.315,0.759,Multiple Sclerosis,2464828,5093,3192,111126,109433,Affinity Capture-MS,27684187,Rosenbluh J (2016)
264,ABL1,YWHAB,0.067,0.717,0.163,0.759,Parkinson's,1023543,25,7529,106543,113361,Affinity Capture-MS,15696159,Yoshida K (2005)
265,ICAM1,IL2RA,0.066,0.292,0.666,0.759,Amyotrophic Lateral Sclerosis (ALS),286869,3383,3559,109610,109774,Affinity Capture-Western,1976256,Burton J (1990)
266,PSMD4,SQSTM1,0.054,0.292,0.67,0.759,Multiple Sclerosis,683952,5710,8878,111683,114397,Affinity Capture-Western,15340068,Seibenhener ML (2004)
267,FBXL5,CIAO1,0.049,0.597,0.422,0.759,Friedreich ataxia,2269755,26234,9391,117625,114791,Affinity Capture-MS,28514442,Huttlin EL (2017)
268,CCNF,VCP,0.049,0.516,0.519,0.759,Multiple Sclerosis,2768687,899,7415,107339,113258,Affinity Capture-Western,31577344,Yu Y (2019)
269,EWSR1,HNRNPA3,0.476,0.466,0.211,0.76,Multiple Sclerosis,1425792,2130,220988,108431,128670,Affinity Capture-MS,24999758,Elzi DJ (2014)
270,PABPC1,PCBP1,0.266,0.444,0.46,0.76,Multiple Sclerosis,1266229,26986,5093,117939,111126,Co-fractionation,26344197,Wan C (2015)
271,GAPDH,ACLY,0.191,0,0.715,0.76,Friedreich ataxia,3434848,2597,47,108868,106563,Co-fractionation,35831314,Havugimana PC (2022)
272,TARDBP,HSP90AA1,0.194,0.535,0.414,0.761,Parkinson's,722341,23435,3320,117003,109552,Affinity Capture-Western,20804554,Zhang YJ (2010)
273,MAP2K1,HSP90AB1,0.11,0.162,0.705,0.761,Parkinson's,2471391,5604,3326,111590,109558,Affinity Capture-MS,27684187,Rosenbluh J (2016)
274,VDAC1,APOE,0,0.499,0.543,0.761,Parkinson's,1180455,7416,348,113259,106845,Affinity Capture-MS,26186194,Huttlin EL (2015)
275,SNRNP70,HNRNPA0,0.649,0.251,0.169,0.762,Multiple Sclerosis,2638835,6625,10949,112509,116149,Affinity Capture-MS,29802200,Bishof I (2018)
276,PCBP1,RBM14,0.638,0.166,0.273,0.762,Multiple Sclerosis,2474071,5093,10432,111126,115700,Two-hybrid,30217970,Yang JS (2018)
277,NDUFV1,OGDH,0.473,0.162,0.504,0.762,Friedreich ataxia,2629660,4723,4967,110802,111017,Co-fractionation,31536960,Moutaoufik MT (2019)
278,PDHA1,ACO2,0.264,0.14,0.655,0.762,Friedreich ataxia,2999032,5160,50,111186,106566,Proximity Label-MS,34079125,Go CD (2021)
279,TOMM40,HSPA4,0.086,0.292,0.662,0.762,Parkinson's,903833,10452,3308,115716,109540,Reconstituted Complex,15644312,Humphries AD (2005)
280,VCP,GRN,0.075,0.127,0.729,0.762,Multiple Sclerosis,3401660,7415,2896,113258,109153,Affinity Capture-MS,35562734,Pu Z (2022)
281,PMPCA,FXN,0.06,0.215,0.527,0.762,Friedreich ataxia,2624844,23203,2395,116811,108677,Co-fractionation,31536960,Moutaoufik MT (2019)
282,NDUFS3,VDAC1,0.37,0.165,0.586,0.763,Friedreich ataxia,2629522,4722,7416,110801,113259,Co-fractionation,31536960,Moutaoufik MT (2019)
283,CPSF6,EIF4A3,0.26,0.332,0.155,0.763,Multiple Sclerosis,3352449,11052,9775,116238,115119,Affinity Capture-MS,35271311,Cho NH (2022)
284,HSP90AA1,YWHAQ,0.222,0.177,0.659,0.763,Parkinson's,3435709,3320,10971,109552,116168,Co-fractionation,35831314,Havugimana PC (2022)
285,TARDBP,CAPRIN1,0.208,0.137,0.682,0.763,Multiple Sclerosis,913317,23435,4076,117003,110252,Affinity Capture-MS,20020773,Freibaum BD (2010)
286,TXNDC9,YWHAQ,0.092,0.208,0.696,0.763,Parkinson's,1274675,10190,10971,115487,116168,Co-fractionation,26344197,Wan C (2015)
287,IL12RB2,SOCS3,0.059,0.292,0.673,0.763,Amyotrophic Lateral Sclerosis (ALS),716253,3595,9021,109809,114488,Reconstituted Complex,14559241,Yamamoto K (2003)
288,GOT2,GPI,0.435,0.201,0.519,0.764,Friedreich ataxia,1262721,2806,2821,109068,109082,Co-fractionation,26344197,Wan C (2015)
289,DDX5,SRSF1,0.281,0.264,0.59,0.764,Multiple Sclerosis,744565,1655,6426,108021,112324,Co-fractionation,22939629,Havugimana PC (2012)
290,DDX58,TRADD,0.061,0.047,0.758,0.764,Multiple Sclerosis,2955180,23586,8717,117121,114257,Affinity Capture-RNA,32513696,Wu SF (2020)
291,UBC,UBQLN4,0.055,0.715,0.194,0.764,Multiple Sclerosis,2881115,7316,56893,113164,121223,Reconstituted Complex,31699778,Wu X (2019)
292,IL20RB,JAK1,0.051,0.19,0.228,0.764,Amyotrophic Lateral Sclerosis (ALS),3172158,53833,3716,119805,109919,Affinity Capture-MS,33961781,Huttlin EL (2021)
293,HTT,PSMD14,0.049,0.171,0.246,0.764,Multiple Sclerosis,2690719,3064,10213,109314,115508,Affinity Capture-MS,25959826,Hosp F (2015)
294,ELAVL1,HNRNPH3,0.635,0.238,0.224,0.765,Multiple Sclerosis,2813527,1994,3189,108309,109430,Proximity Label-MS,29395067,Youn JY (2018)
295,VDAC1,YWHAE,0.357,0.308,0.515,0.765,Parkinson's,2362537,7416,7531,113259,113363,Affinity Capture-MS,29128334,Malty RH (2017)
296,VCP,DYNC1H1,0.165,0.131,0.428,0.765,Multiple Sclerosis,3401627,7415,1778,113258,108117,Affinity Capture-MS,35562734,Pu Z (2022)
297,LSM4,SMN1,0.119,0.451,0.553,0.765,Multiple Sclerosis,2814787,25804,6606,117336,112490,Proximity Label-MS,29395067,Youn JY (2018)
298,CIAO1,GLRX3,0.106,0.535,0.48,0.765,Friedreich ataxia,950958,9391,10539,114791,115793,Affinity Capture-MS,23891004,Stehling O (2013)
299,IL2RG,IL13RA1,0.064,0.292,0.674,0.765,Amyotrophic Lateral Sclerosis (ALS),854496,3561,3597,109776,109811,Affinity Capture-Western,12207328,Doucet C (2002)
300,MATR3,ZNF326,0.055,0.43,0.51,0.765,Multiple Sclerosis,1458130,9782,284695,115126,129936,Affinity Capture-MS,26496610,Hein MY (2015)
301,HNRNPA1,PTBP2,0.049,0.216,0.71,0.765,Multiple Sclerosis,2990398,3178,58155,109420,121796,Proximity Label-MS,34079125,Go CD (2021)
302,RBM14,TRA2B,0.721,0.184,0.055,0.766,Multiple Sclerosis,3366382,10432,6434,115700,112332,Affinity Capture-MS,35271311,Cho NH (2022)
303,ATP13A2,GAK,0.145,0.314,0.633,0.766,Parkinson's,727083,23400,2580,116973,108853,Two-hybrid,22645275,Usenovic M (2012)
304,HSPB1,YWHAZ,0.08,0.131,0.731,0.766,Parkinson's,1255591,3315,7534,109547,113366,Two-hybrid,25277244,Katsogiannou M (2014)
305,GPI,FH,0.075,0.181,0.715,0.766,Friedreich ataxia,1262187,2821,2271,109082,108562,Co-fractionation,26344197,Wan C (2015)
306,MATR3,HNRNPF,0.067,0.444,0.586,0.766,Multiple Sclerosis,1444890,9782,3185,115126,109426,Affinity Capture-MS,26496610,Hein MY (2015)
307,HSCB,SDHB,0.065,0.625,0.385,0.766,Friedreich ataxia,2812179,150274,6390,127276,112291,Affinity Capture-MS,28380382,Maio N (2017)
308,YWHAB,PI4KB,0.049,0.57,0.475,0.766,Parkinson's,241589,7529,5298,113361,111316,Affinity Capture-MS,17353931,Ewing RM (2007)
309,KIF5B,SQSTM1,0.042,0.163,0.487,0.766,Multiple Sclerosis,1448906,3799,8878,110000,114397,Affinity Capture-MS,26496610,Hein MY (2015)
310,DDX5,RBMX,0.124,0.543,0.465,0.767,Multiple Sclerosis,745341,1655,27316,108021,118134,Co-fractionation,22939629,Havugimana PC (2012)
311,CPSF6,HNRNPU,0.622,0.165,0.324,0.768,Multiple Sclerosis,3352459,11052,3192,116238,109433,Affinity Capture-MS,35271311,Cho NH (2022)
312,CELF1,HNRNPK,0.337,0.193,0.602,0.768,Multiple Sclerosis,2812528,10658,3190,115901,109431,Proximity Label-MS,29395067,Youn JY (2018)
313,SOD1,PSMD14,0.218,0.125,0.145,0.768,Multiple Sclerosis,2362331,6647,10213,112530,115508,Affinity Capture-MS,29128334,Malty RH (2017)
314,PSMD14,UBQLN2,0.125,0.452,0.556,0.768,Multiple Sclerosis,3404175,10213,29978,115508,119006,Affinity Capture-MS,35530310,Gubat J (2022)
315,DCTN1,HDAC6,0.066,0.444,0.59,0.768,Parkinson's,3217483,1639,10013,108007,115330,Affinity Capture-Western,33783327,Chang J (2021)
316,TAF15,HNRNPA3,0.677,0.243,0.13,0.769,Multiple Sclerosis,2644373,8148,220988,113807,128670,Affinity Capture-MS,29884807,Chi B (2018)
317,MATR3,KHDRBS1,0.068,0.454,0.582,0.769,Multiple Sclerosis,1450833,9782,10657,115126,115900,Affinity Capture-MS,26496610,Hein MY (2015)
318,OSBPL11,VAPB,0.065,0.641,0.366,0.769,Multiple Sclerosis,3362154,114885,9217,125386,114650,Affinity Capture-MS,35271311,Cho NH (2022)
319,HDAC4,YWHAH,0.046,0.761,0.07,0.769,Parkinson's,872001,9759,7533,115106,113365,Affinity Capture-MS,23752268,Joshi P (2013)
320,CPSF6,HNRNPA2B1,0.601,0.17,0.362,0.77,Multiple Sclerosis,3352487,11052,3181,116238,109422,Affinity Capture-MS,35271311,Cho NH (2022)
321,GOT2,TPI1,0.442,0.1,0.578,0.77,Friedreich ataxia,3434652,2806,7167,109068,113020,Co-fractionation,35831314,Havugimana PC (2022)
322,FUS,SAFB,0.275,0.582,0.301,0.77,Multiple Sclerosis,2644243,2521,6294,108797,112201,Affinity Capture-MS,29884807,Chi B (2018)
323,VDAC1,NDUFA9,0.24,0.221,0.642,0.77,Friedreich ataxia,1265342,7416,4704,113259,110784,Co-fractionation,26344197,Wan C (2015)
324,CS,NDUFS2,0.421,0.199,0.541,0.772,Friedreich ataxia,2850020,1431,4720,107818,110800,Proximity Label-MS,32877691,Antonicka H (2020)
325,HSPD1,PMPCA,0.162,0.272,0.45,0.772,Friedreich ataxia,2559159,3329,23203,109561,116811,Proximity Label-MS,29568061,Liu X (2018)
326,VCP,PARK7,0.111,0.248,0.399,0.772,Parkinson's,2563108,7415,11315,113258,116446,Proximity Label-MS,29540532,Zuzow N (2018)
327,SOD1,VCP,0.055,0.161,0.735,0.772,Multiple Sclerosis,2362339,6647,7415,112530,113258,Affinity Capture-MS,29128334,Malty RH (2017)
328,NFKBIA,PSMA4,0.047,0.617,0.081,0.772,Multiple Sclerosis,668360,4792,5685,110859,111658,Affinity Capture-Western,9875328,Petropoulos L (1998)
329,IFNA14,STAT1,0,0.203,0.475,0.772,Amyotrophic Lateral Sclerosis (ALS),3169562,3448,6772,109671,112649,Affinity Capture-MS,33961781,Huttlin EL (2021)
